금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,소재지도로명주소,관리기관명,위도,경도,데이터기준일자
함라중학교,시설전체,전라북도,익산시,중학교,국민건강증진법제9조,전라북도 익산시 함낭로 61-18,전라북도 익산시,36.0647689,126.917123,2022-03-09
함열중학교,시설전체,전라북도,익산시,중학교,국민건강증진법제9조,전라북도 익산시 함열3길 37,전라북도 익산시,36.082748,126.9600764,2022-03-09
남성중학교,시설전체,전라북도,익산시,중학교,국민건강증진법제9조,전라북도 익산시 동서로 35길 41,전라북도 익산시,35.95635862,126.9659962,2022-03-09
남성여자중학교,시설전체,전라북도,익산시,중학교,국민건강증진법제9조,전라북도 익산시 동서로 35길 41,전라북도 익산시,35.95635862,126.9659962,2022-03-09
원광여자중학교,시설전체,전라북도,익산시,중학교,국민건강증진법제9조,전라북도 익산시 선화로 길 72,전라북도 익산시,35.955199,126.943645,2022-03-09
원광중학교,시설전체,전라북도,익산시,중학교,국민건강증진법제9조,전라북도 익산시 무왕로 31길 154,전라북도 익산시,35.97389316,127.0013592,2022-03-09
이리중학교,시설전체,전라북도,익산시,중학교,국민건강증진법제9조,전라북도 익산시 학곤로 19,전라북도 익산시,35.93424298,126.9418576,2022-03-09
이일여자중학교,시설전체,전라북도,익산시,중학교,국민건강증진법제9조,전라북도 익산시 평동로 7길 30,전라북도 익산시,35.93458581,126.9489839,2022-03-09
익산중학교,시설전체,전라북도,익산시,중학교,국민건강증진법제9조,전라북도 익산시 고도길 85,전라북도 익산시,35.9946084,127.0559901,2022-03-09
진경여자중학교,시설전체,전라북도,익산시,중학교,국민건강증진법제9조,전라북도 익산시 황등서로 104,전라북도 익산시,36.0010261,126.9329531,2022-03-09
함열여자중학교,시설전체,전라북도,익산시,중학교,국민건강증진법제9조,전라북도 익산시 정자길 31,전라북도 익산시,36.083419,126.9704561,2022-03-09
황등중학교,시설전체,전라북도,익산시,중학교,국민건강증진법제9조,전라북도 익산시 황금로 18,전라북도 익산시,36.00794165,126.9459728,2022-03-09
한국폴리텍Ⅴ대학,시설전체,전라북도,익산시,전문대학,국민건강증진법제9조,전라북도 익산시 선화로 79한국폴리텍V대학,전라북도 익산시,35.951175,126.991489,2022-03-09
(재)원불교익산원광한의원,시설전체,전라북도,익산시,의료기관,국민건강증진법제9조,전라북도 익산시 익산대로 459 (신동),전라북도 익산시,35.96686258,126.952728,2022-03-09
신동한의원,시설전체,전라북도,익산시,의료기관,국민건강증진법제9조,전라북도 익산시 인북로 213 (남중동),전라북도 익산시,35.947761,126.956647,2022-03-09
명성당중국한의원,시설전체,전라북도,익산시,의료기관,국민건강증진법제9조,전라북도 익산시 서동로 67 (주현동),전라북도 익산시,35.9328359,126.9592058,2022-03-09
지산한의원,시설전체,전라북도,익산시,의료기관,국민건강증진법제9조,전라북도 익산시 선화로 15 (마동),전라북도 익산시,35.945681,126.964684,2022-03-09
경희한의원,시설전체,전라북도,익산시,의료기관,국민건강증진법제9조,"전라북도 익산시 서동로 31, 301동 (203,204)호 (인화동2가)",전라북도 익산시,35.93103062,126.956424,2022-03-09
